"filename", "language", "Markdown", "CSV", "R", "R DCF", "Batch", "PowerShell", "Perl", "Ruby", "comment", "blank", "total"
"c:\Users\vlothec\Documents\GitHub\TRASH_dev\.lintr", "R DCF", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\vlothec\Documents\GitHub\TRASH_dev\GCA_028009825.2_Col-CC_genomic.fna_arrays.csv", "CSV", 0, 19177, 0, 0, 0, 0, 0, 0, 0, 1, 19178
"c:\Users\vlothec\Documents\GitHub\TRASH_dev\GCA_028009825.2_Col-CC_genomic.fna_repeats.csv", "CSV", 0, 150061, 0, 0, 0, 0, 0, 0, 0, 1, 150062
"c:\Users\vlothec\Documents\GitHub\TRASH_dev\README.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\vlothec\Documents\GitHub\TRASH_dev\dep\mafft-7.520-win64-signed\mafft-win\mafft-signed.ps1", "PowerShell", 0, 0, 0, 0, 0, 11, 0, 0, 161, 5, 177
"c:\Users\vlothec\Documents\GitHub\TRASH_dev\dep\mafft-7.520-win64-signed\mafft-win\mafft.bat", "Batch", 0, 0, 0, 0, 22, 0, 0, 0, 6, 6, 34
"c:\Users\vlothec\Documents\GitHub\TRASH_dev\dep\mafft-7.520-win64-signed\mafft-win\usr\bin\mafft-homologs.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 374, 67, 65, 506
"c:\Users\vlothec\Documents\GitHub\TRASH_dev\dep\mafft-7.520-win64-signed\mafft-win\usr\lib\mafft\mafftash_premafft.pl", "Perl", 0, 0, 0, 0, 0, 0, 282, 0, 41, 142, 465
"c:\Users\vlothec\Documents\GitHub\TRASH_dev\dep\mafft-7.520-win64-signed\mafft-win\usr\lib\mafft\seekquencer_premafft.pl", "Perl", 0, 0, 0, 0, 0, 0, 386, 0, 65, 150, 601
"c:\Users\vlothec\Documents\GitHub\TRASH_dev\hors.md", "Markdown", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
